date,rm
2002/1/31,-7.1932
2002/2/28,1.8697
2002/3/29,5.5329
2002/4/30,3.0561
2002/5/31,-8.498
2002/6/28,15.5499
2002/7/31,-5.1018
2002/8/30,0.231
2002/9/27,-5.5569
2002/10/31,-4.6913
2002/11/29,-4.9554
2002/12/31,-5.2358
2003/1/29,9.4194
2003/2/28,0.5188
2003/3/31,0.1076
2003/4/30,2.0396
2003/5/30,4.9125
2003/6/30,-6.6354
2003/7/31,0.6743
2003/8/29,-3.6118
2003/9/30,-4.3637
2003/10/31,-1.3776
2003/11/28,2.8209
2003/12/31,4.5293
2004/1/30,7.2476
2004/2/27,5.4846
2004/3/31,2.467
2004/4/30,-10.4866
2004/5/31,-2.6521
2004/6/30,-10.6357
2004/7/30,0.945
2004/8/31,-3.0043
2004/9/30,5.0526
2004/10/29,-5.3208
2004/11/30,1.1916
2004/12/31,-5.9102
2005/1/31,-4.5121
2005/2/28,8.9132
2005/3/31,-9.4026
2005/4/29,-1.041
2005/5/31,-8.1992
2005/6/30,2.6567
2005/7/29,1.0787
2005/8/31,4.4757
2005/9/30,-1.1342
2005/10/31,-4.4812
2005/11/30,-0.2804
2005/12/30,5.6792
2006/1/25,9.3287
2006/2/28,4.3
2006/3/31,0.7671
2006/4/28,10.4854
2006/5/31,16.4716
2006/6/30,2.0881
2006/7/31,-7.1476
2006/8/31,3.4277
2006/9/29,4.8234
2006/10/31,4.3618
2006/11/30,17.0631
2006/12/29,19.0561
2007/1/31,16.8682
2007/2/28,6.6756
2007/3/30,9.3223
2007/4/30,27.929
2007/5/31,10.3758
2007/6/29,-4.172
2007/7/31,18.5035
2007/8/31,18.7476
2007/9/28,5.3617
2007/10/31,1.9304
2007/11/30,-16.7202
2007/12/28,12.6835
2008/1/31,-13.4477
2008/2/29,1.172
2008/3/31,-18.9113
2008/4/30,4.4476
2008/5/30,-8.7845
2008/6/30,-22.6928
2008/7/31,0.4797
2008/8/29,-14.7429
2008/9/26,-6.1875
2008/10/31,-25.8505
2008/11/28,9.9939
2008/12/31,-0.6668
2009/1/23,11.8258
2009/2/27,5.3037
2009/3/31,17.1596
2009/4/30,4.5912
2009/5/27,5.215
2009/6/30,14.7393
2009/7/31,17.9426
2009/8/31,-24.2153
2009/9/30,6.1667
2009/10/30,9.1709
2009/11/30,7.0509
2009/12/31,1.8229
2010/1/29,-10.3904
2010/2/26,2.4191
2010/3/31,1.9484
2010/4/30,-8.3166
2010/5/31,-9.5881
2010/6/30,-7.5793
2010/7/30,11.9301
2010/8/31,1.1971
2010/9/30,1.1155
2010/10/29,15.1387
2010/11/30,-7.1893
2010/12/31,-0.2781
2011/1/31,-1.6544
2011/2/28,5.2999
2011/3/31,-0.5023
2011/4/29,-0.9483
2011/5/31,-5.9876
2011/6/30,1.417
2011/7/29,-2.3656
2011/8/31,-4.216
2011/9/30,-9.3237
2011/10/31,4.4146
2011/11/30,-6.4478
2011/12/30,-6.9711
2012/1/31,5.0525
2012/2/29,6.8939
2012/3/30,-6.8046
2012/4/27,6.9762
2012/5/31,0.2241
2012/6/29,-6.4752
2012/7/31,-5.2279
2012/8/31,-5.489
2012/9/28,4.002
2012/10/31,-1.6696
2012/11/30,-5.1072
2012/12/31,17.9136
2013/1/31,6.4975
2013/2/28,-0.5045
2013/3/29,-6.6675
2013/4/26,-1.9148
2013/5/31,6.5018
2013/6/28,-15.5687
2013/7/31,-0.3462
2013/8/30,5.5124
2013/9/30,4.1111
2013/10/31,-1.4661
2013/11/29,2.7478
2013/12/31,-4.4658
2014/1/30,-5.4753
2014/2/28,-1.066
2014/3/31,-1.4991
2014/4/30,0.5756
2014/5/30,-0.1017
2014/6/30,0.4013
2014/7/31,8.5507
2014/8/29,-0.5091
2014/9/30,4.8198
2014/10/31,2.3393
2014/11/28,11.9799
2014/12/31,25.8075
2015/1/30,-2.8105
2015/2/27,4.0314
2015/3/31,13.3888
2015/4/30,17.2463
2015/5/29,1.9146
2015/6/30,-7.5985
2015/7/31,-14.6724
2015/8/31,-11.7946
2015/9/30,-4.8593
2015/10/30,10.3383
2015/11/30,0.9149
2015/12/31,4.6151
2016/1/29,-21.0376
2016/2/29,-2.3293
2016/3/31,11.8375
2016/4/29,-1.9062
2016/5/31,0.4059
2016/6/30,-0.4934
2016/7/29,1.5856
2016/8/31,3.866
2016/9/30,-2.239
2016/10/31,2.5511
2016/11/30,6.0464
2016/12/30,-6.4421
2017/1/26,2.3528
2017/2/28,1.9141
2017/3/31,0.0937
2017/4/28,-0.4714
2017/5/31,1.5446
2017/6/30,4.9791
2017/7/31,1.9384
2017/8/31,2.2531
2017/9/29,0.377
2017/10/31,4.4368
2017/11/30,-0.0154
2017/12/29,0.6179
2018/1/31,6.0792
2018/2/28,-5.8995
2018/3/30,-3.1102
2018/4/27,-3.6327
2018/5/31,1.2111
2018/6/29,-7.6634
2018/7/31,0.19
2018/8/31,-5.2067
2018/9/28,3.1297
2018/10/31,-8.2888
2018/11/30,0.5982
2018/12/28,-5.1072
2019/1/31,6.3435
2019/2/28,14.6093
2019/3/29,5.5315
2019/4/30,1.0554
2019/5/31,-7.2427
2019/6/28,5.3942
2019/7/31,0.2554
2019/8/30,-0.9327
2019/9/30,0.3933
2019/10/31,1.8934
2019/11/29,-1.4943
2019/12/31,6.9975
2020/1/23,-2.2624
2020/2/28,-1.5948
2020/3/31,-6.4439
2020/4/30,6.1425
2020/5/29,-1.1643
2020/6/30,7.6788
2020/7/31,12.7543
2020/8/31,2.5808
2020/9/30,-4.751
2020/10/30,2.3529
2020/11/30,5.6422
2020/12/31,5.061
2021/1/29,2.6994
2021/2/26,-0.2841
2021/3/31,-5.404
2021/4/30,1.4882
2021/5/31,4.0613
2021/6/30,-2.0168
2021/7/30,-7.9033
2021/8/31,-0.1156
2021/9/30,1.2646
2021/10/29,0.871
2021/11/30,-1.5634
2021/12/31,2.2423
2022/1/28,-7.6229
2022/2/28,0.3916
2022/3/31,-7.8367
2022/4/29,-4.8869
2022/5/31,1.8743
2022/6/30,9.6173
2022/7/29,-7.0214
2022/8/31,-2.1885
2022/9/30,-6.7165
2022/10/31,-7.7843
2022/11/30,9.8137
2022/12/30,0.4827
2023/1/31,7.367
2023/2/28,-2.1025
2023/3/31,-0.4554
2023/4/28,-0.5391
2023/5/31,-5.722
2023/6/30,1.1559
2023/7/31,4.481
2023/8/31,-6.2113
2023/9/28,-2.0118
2023/10/31,-3.1715
2023/11/30,-2.1358
2023/12/29,-1.8618
